run_id,manifest_present,source_path_present,source_file_exists,source_hash_present,topics,blank_topic_names,duplicate_topic_names,topics_with_description,topics_with_summary,prerequisite_edges,malformed_edges,dangling_prerequisite_edges,self_loops,duplicate_prerequisite_edges,has_prerequisite_cycle,stage2a_present,stage2b_present,stage3_present
cs224n-2026-lecture13-reasoning-part2/9be210e8836e,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
cs224n-2026-lecture14-guest-julie-tokenization-multilinguality/759f414aec53,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
cs224n-2026-lecture16-impact-on-humanity/1b2803f69d2c,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
cs224n-2026-lecture19-open-questions/f6d8d31e8a6f,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
cs224n-spr2024-lecture15-life-after-dpo-lambert/e534f25111e7,True,True,True,True,9,0,0,9,9,4,0,0,0,0,False,True,True,True
DL___Final_Lecture___Design_Engineering/e751bcf4b967,True,True,True,True,0,0,0,0,0,0,0,0,0,0,False,False,False,False
dls_2016/562b4445509a,True,True,True,True,11,0,0,11,11,9,0,0,0,0,False,True,True,True
front_matter/1f6f329f9525,True,True,True,True,8,0,0,8,8,6,0,0,0,0,False,True,True,True
glossary/c9772e6502e2,True,True,True,True,9,0,0,9,9,5,0,0,0,0,False,True,True,True
islp_website/278d3bdd49a8,True,True,True,True,9,0,0,9,9,10,0,0,0,0,False,True,True,True
islrv2_corrected_june_2023/7ed447d1a513,True,True,True,True,9,0,0,9,9,7,0,0,0,0,False,True,True,True
linear_algebra/02de2e03aa08,True,True,True,True,8,0,0,8,8,7,0,0,0,0,False,True,True,True
quickstart/007d88a49ebb,True,True,True,True,17,0,0,0,17,9,0,0,0,0,False,True,True,True
readme/3ceb60c79421,True,True,True,True,8,0,0,8,8,5,0,0,0,0,False,True,True,True
sgd_and_cost_structure/84a4549929c0,True,True,True,True,9,0,0,9,9,6,0,0,0,0,False,True,True,True
structure/24c34254f5dd,True,True,True,True,8,0,0,8,0,7,0,0,0,0,False,True,True,False
