run_id,model,item_type,decision,item,reason
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,document chat performance optimization,No performance measurement or optimization content is provided.
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,conversation machine architecture,No system or model architecture is specified.
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,documents conversation data processing,"The source mentions loading and chunking documents, not processing conversation data."
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,document chat security considerations,No security practices or considerations are discussed.
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,python document_chat error handling,The source contains no error-handling behavior or implementation guidance.
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,document chat use cases in business,No business use cases are presented.
02-document-chat-readme-f1744a249864,gpt55,topic,unsupported,conversation machine training datasets,The source does not discuss training datasets or model training.
02-document-chat-readme-f1744a249864,gpt55,prerequisite,rejected,document chat functionality in Python -> python document_chat implementation,"This is a plausible development relationship, but the source does not establish it as a learning prerequisite."
02-document-chat-readme-f1744a249864,gpt55,prerequisite,rejected,document_chat library usage in Python -> python document_chat implementation,No document_chat library is identified in the source.
02-document-chat-readme-f1744a249864,gpt55,prerequisite,rejected,python document_chat implementation -> python document_chat error handling,Error handling is not covered in the source.
02-document-chat-readme-f1744a249864,gpt55,prerequisite,rejected,python document_chat implementation -> document chat performance optimization,Performance optimization is not discussed in the source.
02-document-chat-readme-f1744a249864,gpt55,prerequisite,rejected,documents conversation data processing -> documents conversation analysis techniques,Neither conversation-data processing nor analysis techniques are described.
02-document-chat-readme-f1744a249864,gpt55,prerequisite,rejected,conversation machine training datasets -> conversation machine learning models,The source does not discuss training datasets or conversational model training.
02-understanding-embeddings-2a611584541b,baseline,topic,unsupported,Loss Functions,The source does not discuss loss functions or their role in evaluating models.
02-understanding-embeddings-2a611584541b,baseline,topic,unsupported,Linear Separation,The source does not cover linear separability.
02-understanding-embeddings-2a611584541b,baseline,topic,unsupported,Regression and Classification,"The lesson focuses on embeddings and semantic search, not regression or classification."
02-understanding-embeddings-2a611584541b,baseline,prerequisite,rejected,Neural Networks -> Loss Functions,"Loss functions are not covered in the source, and this dependency is not established."
02-understanding-embeddings-2a611584541b,baseline,prerequisite,rejected,Regression and Classification -> Model Training,"Regression and classification are not discussed, and the source does not establish this directional dependency."
02-understanding-embeddings-2a611584541b,baseline,prerequisite,rejected,Linear Separation -> Regression and Classification,Neither linear separation nor regression and classification is covered in the lesson.
02-understanding-embeddings-2a611584541b,gpt55,topic,unsupported,Loss Functions,Loss functions are not discussed or used in the lesson.
02-understanding-embeddings-2a611584541b,gpt55,topic,unsupported,Linear Separation,The source does not cover linear separability or decision boundaries.
02-understanding-embeddings-2a611584541b,gpt55,topic,unsupported,Regression and Classification,"The lesson focuses on embeddings and semantic search, not predictive task types."
02-understanding-embeddings-2a611584541b,gpt55,topic,unsupported,Model Training,"Models are described as trained, but training procedures are not taught."
02-understanding-embeddings-2a611584541b,gpt55,prerequisite,rejected,Neural Networks -> Sentence Transformers,The source identifies embedding models as neural networks but does not establish neural-network fundamentals as a required learning dependency for using Sentence Transformers.
02-understanding-embeddings-2a611584541b,gpt55,prerequisite,rejected,Loss Functions -> Model Training,Neither loss functions nor the process of model training is substantively covered in the source.
03-vector-databases-retrieval-4f238ede4c95,baseline,topic,unsupported,Document Management,The source discusses storing documents and metadata but does not teach document management as a distinct concept.
03-vector-databases-retrieval-4f238ede4c95,baseline,topic,unsupported,Artificial Neural Networks,Neural networks are not discussed.
03-vector-databases-retrieval-4f238ede4c95,baseline,topic,unsupported,Regression and Classification,Regression and classification are not discussed.
03-vector-databases-retrieval-4f238ede4c95,baseline,prerequisite,rejected,Embeddings -> Cosine Similarity,"Cosine similarity is used to compare embeddings, but understanding embeddings is not established as a prerequisite for learning the similarity measure itself."
03-vector-databases-retrieval-4f238ede4c95,baseline,prerequisite,rejected,Document Management -> Retrieval Strategies,"Document management is not a defined topic in the source, and the source does not establish this dependency."
03-vector-databases-retrieval-4f238ede4c95,baseline,prerequisite,rejected,Large Datasets -> Retrieval Strategies,"Large scale motivates efficient retrieval, but dataset size is an application condition rather than a learning prerequisite for retrieval strategies."
03-vector-databases-retrieval-4f238ede4c95,baseline,prerequisite,rejected,Artificial Neural Networks -> Regression and Classification,Neither topic is covered in the source.
03-vector-databases-retrieval-4f238ede4c95,gpt55,topic,unsupported,Document Management,"The lesson covers storing documents, metadata, and retrieval, but does not present document management as a distinct learning concept."
03-vector-databases-retrieval-4f238ede4c95,gpt55,topic,unsupported,Large Datasets,"Large-scale datasets are a motivating condition for vector databases, not a standalone instructional concept."
03-vector-databases-retrieval-4f238ede4c95,gpt55,topic,unsupported,Artificial Neural Networks,Neural-network architectures are not discussed.
03-vector-databases-retrieval-4f238ede4c95,gpt55,topic,unsupported,Regression and Classification,Regression and classification are not covered.
03_prob-20e52d6d8bb6,baseline,topic,unsupported,Probabilistic Models,The text develops probability distributions and random variables but does not present probabilistic models as a learning topic.
03_prob-20e52d6d8bb6,baseline,topic,unsupported,Neural Networks,Neural networks are not discussed; deep learning is mentioned only as context for choosing distributions.
03_prob-20e52d6d8bb6,baseline,topic,unsupported,Statistical Inference,The source does not cover inference procedures or estimation.
03_prob-20e52d6d8bb6,baseline,prerequisite,rejected,Probability Theory -> Statistical Inference,Statistical inference is not covered in the source.
03_prob-20e52d6d8bb6,baseline,prerequisite,rejected,Random Variables -> Probabilistic Models,Probabilistic models are not presented as a topic in the source.
03_prob-20e52d6d8bb6,baseline,prerequisite,rejected,Probability Theory -> Information Theory,Information theory appears in the chapter title but no information-theoretic material or dependency is developed in the provided text.
03_prob-20e52d6d8bb6,baseline,prerequisite,rejected,Statistical Inference -> Neural Networks,Neither statistical inference nor neural-network training is covered.
03_prob-20e52d6d8bb6,baseline,prerequisite,rejected,Mathematical Functions -> Neural Networks,"Neural networks are not a source topic, so this dependency is unsupported."
03_prob-20e52d6d8bb6,gpt55,topic,unsupported,Information Theory,"It appears in the chapter title, but the provided text does not substantively cover information-theoretic concepts."
03_prob-20e52d6d8bb6,gpt55,topic,unsupported,Probabilistic Models,"The text discusses probability distributions and variables, not probabilistic modeling as a distinct topic."
03_prob-20e52d6d8bb6,gpt55,topic,unsupported,Neural Networks,Neural networks are not discussed in the source text.
03_prob-20e52d6d8bb6,gpt55,topic,unsupported,Statistical Inference,The source does not cover inference procedures or estimation from data.
03_prob-20e52d6d8bb6,gpt55,prerequisite,rejected,Probability Distributions -> Information Theory,Information-theoretic quantities such as entropy are not covered in the provided text.
03_prob-20e52d6d8bb6,gpt55,prerequisite,rejected,Probability Distributions -> Statistical Inference,Statistical inference is not addressed in the source.
03_prob-20e52d6d8bb6,gpt55,prerequisite,rejected,Probability Distributions -> Probabilistic Models,The source does not develop probabilistic models as a topic.
03_prob-20e52d6d8bb6,gpt55,prerequisite,rejected,Random Variables -> Probabilistic Models,Probabilistic models are not substantively discussed.
03_prob-20e52d6d8bb6,gpt55,prerequisite,rejected,Mathematical Functions -> Neural Networks,Neural networks are absent from the source.
04-language-models-generation-fd2b5b9f4415,baseline,topic,unsupported,Self History,"The source discusses conversation history and a self.history variable, not a concept called Self History."
04-language-models-generation-fd2b5b9f4415,baseline,topic,unsupported,Quality Assessment,"The source includes answer verification and model-selection quality factors, but does not present quality assessment as a distinct learning concept."
04-language-models-generation-fd2b5b9f4415,baseline,topic,unsupported,Data Management,"Documents and vector databases are used in examples, but data management is not taught as a topic in this lesson."
04-language-models-generation-fd2b5b9f4415,baseline,topic,unsupported,Model Evaluation,"Evaluation is mentioned only as a future lesson activity, not developed as a lesson concept."
04-language-models-generation-fd2b5b9f4415,baseline,prerequisite,rejected,Language Models -> Contextual Understanding,"Contextual understanding is presented as an LLM capability, not as a separately developed topic that has a strong prerequisite dependency on Language Models."
04-language-models-generation-fd2b5b9f4415,baseline,prerequisite,rejected,Language Models -> Quality Assessment,"Quality Assessment is not a distinct supported topic, and the source does not establish this learning dependency."
04-language-models-generation-fd2b5b9f4415,baseline,prerequisite,rejected,Training Techniques -> Neural Networks,"The source describes training an LLM neural network, but does not establish general training techniques as a prerequisite for learning neural networks."
04-language-models-generation-fd2b5b9f4415,baseline,prerequisite,rejected,Data Management -> Training Techniques,Neither data management nor this directional dependency is taught in the source.
04-language-models-generation-fd2b5b9f4415,baseline,prerequisite,rejected,Model Evaluation -> Quality Assessment,"Both concepts are not developed as distinct lesson topics, and the relation is largely associative."
04-language-models-generation-fd2b5b9f4415,gpt55,topic,unsupported,Self History,"The source discusses conversation history for multi-turn RAG, but does not present a concept called self history."
04-language-models-generation-fd2b5b9f4415,gpt55,topic,unsupported,Data Management,"Documents and vector databases are used in examples, but data management is not a lesson concept."
04-language-models-generation-fd2b5b9f4415,gpt55,topic,unsupported,Model Evaluation,Evaluation is only mentioned as a future lesson activity and is not substantively taught here.
04-language-models-generation-fd2b5b9f4415,gpt55,prerequisite,rejected,Data Management -> Training Techniques,"Data management is not taught as a concept, and the source does not establish it as a prerequisite for training techniques."
04-language-models-generation-fd2b5b9f4415,gpt55,prerequisite,rejected,Contextual Understanding -> Answer Generation,"Both are relevant to LLM responses, but the source does not establish contextual understanding as a distinct required learning prerequisite for answer generation."
04_numerical-dd3a4dd53cd3,baseline,topic,unsupported,Regression and Classification,The source mentions classification error only as an evaluation example and does not teach regression or regression/classification as a topic.
04_numerical-dd3a4dd53cd3,baseline,prerequisite,rejected,Eigenvalues and Eigenvectors -> Optimization Techniques,"Eigenvalues inform curvature-based analysis and conditioning, but they are not a general prerequisite for the broad category of optimization techniques."
04_numerical-dd3a4dd53cd3,baseline,prerequisite,rejected,Training Neural Networks -> Training Process,"This is a broad part-whole or hierarchical relationship, not a directional learning dependency."
04_numerical-dd3a4dd53cd3,baseline,prerequisite,rejected,Regression and Classification -> Training Process,The source does not establish this dependency and does not substantively cover regression.
04_numerical-dd3a4dd53cd3,gpt55,topic,unsupported,Regression and Classification,Classification error is mentioned only as an example metric; regression and classification are not developed as learning concepts.
04_numerical-dd3a4dd53cd3,gpt55,prerequisite,rejected,Partial Derivatives -> Training Neural Networks,"The stated backpropagation dependency is not covered in the source, and the source does not establish this as a direct prerequisite separate from gradient-based optimization."
04_numerical-dd3a4dd53cd3,gpt55,prerequisite,rejected,Matrix Operations -> Training Neural Networks,"Matrix computations may occur in neural networks, but the source does not establish matrix operations as a direct learning prerequisite for training neural networks."
05-building-simple-rag-35ec62f5ee2b,baseline,topic,unsupported,Neural Networks,The lesson uses embedding models and LLMs but does not teach neural-network concepts.
05-building-simple-rag-35ec62f5ee2b,baseline,topic,unsupported,Error Analysis,"The source includes basic troubleshooting and error handling, not a substantive error-analysis method."
05-building-simple-rag-35ec62f5ee2b,baseline,topic,unsupported,Training Techniques,The lesson builds and evaluates a RAG application; it does not cover model training techniques.
05-building-simple-rag-35ec62f5ee2b,baseline,prerequisite,rejected,Text Processing -> Query Handling,"Text processing is used to prepare documents, but the source does not establish it as a learning prerequisite for handling queries."
05-building-simple-rag-35ec62f5ee2b,baseline,prerequisite,rejected,Neural Networks -> Training Techniques,Neither neural-network instruction nor training techniques are covered in the lesson.
05-building-simple-rag-35ec62f5ee2b,baseline,prerequisite,rejected,Model Evaluation -> Error Analysis,"The source presents evaluation tests and troubleshooting, but does not define error analysis as depending on model evaluation."
05-building-simple-rag-35ec62f5ee2b,baseline,prerequisite,rejected,Configuration Management -> Training Techniques,"Configuration settings support the application, while model training techniques are not part of the source."
05-building-simple-rag-35ec62f5ee2b,baseline,prerequisite,rejected,Neural Networks -> RAG Systems,RAG is implemented using pretrained embedding and language models; neural-network theory is not presented as a required prerequisite.
05-building-simple-rag-35ec62f5ee2b,baseline,prerequisite,rejected,Python Integration -> Text Processing,"Python is the implementation language, not a stated conceptual prerequisite for text processing."
05-building-simple-rag-35ec62f5ee2b,gpt55,topic,unsupported,Neural Networks,The lesson uses embedding models and an LLM but does not teach neural-network concepts.
05-building-simple-rag-35ec62f5ee2b,gpt55,topic,unsupported,Training Techniques,The lesson implements and evaluates a RAG application; it does not cover model training techniques.
05-building-simple-rag-35ec62f5ee2b,gpt55,prerequisite,rejected,Model Evaluation -> Error Analysis,"The source includes evaluation and troubleshooting, but it does not establish error analysis as a learning dependency on model evaluation."
05-building-simple-rag-35ec62f5ee2b,gpt55,prerequisite,rejected,Text Processing -> Query Handling,Queries are passed directly to retrieval; the lesson does not teach text parsing or normalization as a required prerequisite for query handling.
05-building-simple-rag-35ec62f5ee2b,gpt55,prerequisite,rejected,Query Handling -> RAG Systems,"Query handling is a component of the RAG pipeline, not a separately established prerequisite for learning RAG systems."
05_ml-f11d16937e75,baseline,topic,unsupported,Neural Networks,The provided text does not discuss neural networks.
05_ml-f11d16937e75,baseline,prerequisite,rejected,Training Data -> Model Evaluation,"Training data is used to fit models, but evaluation in the source specifically contrasts training performance with test/generalization performance; this is not a strong prerequisite relation."
05_ml-f11d16937e75,baseline,prerequisite,rejected,Regression -> Classification,Regression and classification are separate task types in the source; regression is not established as a prerequisite for classification.
05_ml-f11d16937e75,baseline,prerequisite,rejected,Dimensionality Reduction -> Distance Metrics,"The PCA discussion is based on variance, covariance, and reconstruction error, not distance metrics as a prerequisite."
05_ml-f11d16937e75,baseline,prerequisite,rejected,Neural Networks -> Training Data,"Neural networks are not covered in the source, and requiring training data is an operational requirement rather than a learning prerequisite."
05_ml-f11d16937e75,gpt55,topic,unsupported,Neural Networks,The provided text does not discuss neural networks.
05_ml-f11d16937e75,gpt55,prerequisite,rejected,Training Data -> Neural Networks,"Neural networks are not covered in the source, so this dependency cannot be supported."
06-advanced-rag-techniques-a65350c7ccf6,baseline,topic,unsupported,Neural Network Concepts,The lesson uses embedding and cross-encoder models but does not teach neural-network concepts themselves.
06-advanced-rag-techniques-a65350c7ccf6,baseline,prerequisite,rejected,Neural Network Concepts -> Performance Optimization,"Neural-network knowledge is neither taught as a prerequisite nor required for the caching, async, and monitoring optimizations presented."
06-advanced-rag-techniques-a65350c7ccf6,baseline,prerequisite,rejected,Query Processing -> Query Variations,"Query expansion generates variations, but the source does not establish broad query processing as a necessary learning prerequisite."
06-advanced-rag-techniques-a65350c7ccf6,baseline,prerequisite,rejected,Query Processing -> Results Management,"The source presents retrieval, deduplication, and ranking workflows, not a directional dependency from these broad categories."
06-advanced-rag-techniques-a65350c7ccf6,baseline,prerequisite,rejected,Text Chunking -> Semantic Processing,"Semantic chunking uses sentence embeddings and similarity, but generic text chunking is not established as a necessary prerequisite for the broad semantic-processing topic."
06-advanced-rag-techniques-a65350c7ccf6,baseline,prerequisite,rejected,Hybrid Search -> Query Processing,Hybrid search is itself a retrieval/query-processing technique; the stated direction is unsupported.
06-advanced-rag-techniques-a65350c7ccf6,gpt55,topic,unsupported,Neural Network Concepts,The lesson uses sentence-transformer and cross-encoder models but does not teach neural-network concepts themselves.
06_mlp-01e27d8d0770,baseline,prerequisite,rejected,Feedforward Networks -> Activation Functions,"Activation functions are components used to define nonlinear feedforward networks, so this direction is reversed or at least not a strong dependency."
06_mlp-01e27d8d0770,baseline,prerequisite,rejected,Feedforward Networks -> Loss Functions,"Loss functions are general training objectives, not concepts that require feedforward networks as a prerequisite."
06_mlp-01e27d8d0770,baseline,prerequisite,rejected,Backpropagation -> Gradient Descent,"Back-propagation computes gradients, while gradient descent is the optimization procedure that uses them; the proposed learning direction is not clearly supported."
06_mlp-01e27d8d0770,baseline,prerequisite,rejected,Neural Network Models -> Feedforward Networks,Feedforward networks are a type of neural network model; this is a taxonomic relation rather than a prerequisite.
06_mlp-01e27d8d0770,baseline,prerequisite,rejected,Loss Functions -> Model Generalization,The source distinguishes fitting/training costs from generalization; understanding a loss function alone is not a strong prerequisite for generalization.
06_mlp-01e27d8d0770,baseline,prerequisite,rejected,Linear Separability -> Feedforward Networks,"Linear inseparability motivates the XOR example, but it is not a general prerequisite for learning feedforward networks."
06_mlp-01e27d8d0770,gpt55,prerequisite,rejected,Gradient Descent -> Backpropagation,"Gradient descent uses gradients that back-propagation can compute, but understanding gradient descent is not a necessary conceptual prerequisite for understanding the back-propagation algorithm itself."
07_regularization-997097d7933e,baseline,topic,unsupported,Data Handling,"The source discusses specific procedures such as dataset augmentation and resampling, but does not establish broad data handling as a learning concept."
07_regularization-997097d7933e,baseline,prerequisite,rejected,Learning Algorithms -> Loss Functions,"Loss functions may guide many learning procedures, but the source does not establish a general directional prerequisite from learning algorithms to loss functions."
07_regularization-997097d7933e,baseline,prerequisite,rejected,Data Handling -> Model Evaluation,This is a general practical association rather than a strong learning dependency supported by the source.
07_regularization-997097d7933e,baseline,prerequisite,rejected,Regression Techniques -> Model Evaluation,"Evaluating regression is an application practice, not a prerequisite relationship established in the text."
07_regularization-997097d7933e,baseline,prerequisite,rejected,Unsupervised Learning -> Model Evaluation,The source does not present model evaluation as depending on unsupervised learning.
09_conv-426f5e52542b,baseline,prerequisite,rejected,Mathematical Foundations -> Learning Algorithms,"The source includes mathematical material and learning algorithms, but does not establish this broad directional dependency."
09_conv-426f5e52542b,baseline,prerequisite,rejected,Mathematical Foundations -> Data Representation,"Tensors and grid-structured inputs are discussed, but the source does not state that general mathematical foundations are a prerequisite for data representation."
09_conv-426f5e52542b,baseline,prerequisite,rejected,Neural Networks -> Network Architecture,Network architecture is a structural concept rather than a learning dependency that requires prior neural-network knowledge.
09_conv-426f5e52542b,baseline,prerequisite,rejected,Learning Algorithms -> Training Techniques,This is a broad association; the source mentions back-propagation and maximum likelihood but does not support the stated prerequisite relation.
09_conv-426f5e52542b,baseline,prerequisite,rejected,Feature Learning -> Learning Algorithms,"The source says learning algorithms can learn features, which does not support feature learning as a prerequisite for learning algorithms."
09_conv-426f5e52542b,gpt55,prerequisite,rejected,Mathematical Foundations -> Learning Algorithms,The source mentions learning algorithms but does not establish mathematical foundations as a specific directional prerequisite for them.
09_conv-426f5e52542b,gpt55,prerequisite,rejected,Neural Networks -> Network Architecture,Network architecture is a broader descriptive topic rather than a learning dependency that follows specifically from neural networks.
09_conv-426f5e52542b,gpt55,prerequisite,rejected,Data Representation -> Learning Algorithms,"The source discusses tensors, grids, and image inputs, but does not establish data representation as a prerequisite for learning algorithms."
10_rnn-9b582c970ecc,baseline,topic,unsupported,Statistical Language Processing,"The source mentions statistical language modeling as an example, but does not present statistical language processing as a topic."
10_rnn-9b582c970ecc,baseline,prerequisite,rejected,Neural Networks -> Computational Graphs,"The source presents computational graphs as a formalism for computations, not as a topic that depends on neural networks."
10_rnn-9b582c970ecc,baseline,prerequisite,rejected,Neural Networks -> Training Techniques,This is a broad association; the source does not establish neural networks as a directional prerequisite for training techniques.
